stratum,rn,row_id,hospital_slug,code,code_type,descr,setting,billing_class,price_type,amount,peer_median,peer_hosp,z,item_gross,item_cash,item_min,item_max,r1,r2,r3,r4,r5,ifl,label
IF_only,1,94f8a45af22d7a5e04ccd80ca5cdeabd,sanford-usd,C1887,HCPCS,CATH SYS TENZING 7 HIPOINT 70,outpatient,facility,negotiated,1.0,65.26,9,-2.5,13663.0,10930.4,1.0,12296.7,False,False,False,False,False,True,E
IF_only,2,490109b39a7c77772b35385185d57627,sanford-usd,C1776,HCPCS,HIP STEM ARCOS STS 19X150MM,outpatient,facility,negotiated,1.0,707.54,9,-4.1,11952.0,9561.6,1.0,10756.8,False,False,False,False,False,True,E
IF_only,3,dd66cf0dbfe76f594cbe71b695c1995e,sanford-usd,C1776,HCPCS,HIP STEM ARCOS STS 22X250MM,outpatient,facility,negotiated,1.0,707.54,9,-4.1,14058.0,11246.4,1.0,12652.2,False,False,False,False,False,True,E
IF_only,4,75052e7cf76bfa5d1d5a76f344494330,sanford-usd,C1776,HCPCS,SHLDR STEM REVERS SM 8X108MM,outpatient,facility,negotiated,1.0,707.54,9,-4.1,26580.0,21264.0,1.0,23922.0,False,False,False,False,False,True,E
IF_only,5,8229b704fae0f7fea4b11e1698a4b0ea,sanford-usd,C1776,HCPCS,SHLDR STEM DIST 9X120MM,outpatient,facility,negotiated,1.0,707.54,9,-4.1,22854.0,18283.2,1.0,20568.6,False,False,False,False,False,True,E
IF_only,6,83f498ca87b142c6e90d7c68ee626bd5,sanford-usd,C1776,HCPCS,SHLDR STEM FRAC PERFORM SZ17,outpatient,facility,negotiated,1.0,707.54,9,-4.1,22464.0,17971.2,1.0,20217.6,False,False,False,False,False,True,E
IF_only,7,bd0ecdcfe5d02224908f8f6e38accbf3,sanford-usd,C1776,HCPCS,KNEE FEM CRS CMNT ATTUNE RTSZ6,outpatient,facility,negotiated,1.0,707.54,9,-4.1,26904.0,21523.2,1.0,24213.6,False,False,False,False,False,True,E
IF_only,8,1c81701ded4fe851d9f8312ac63393b7,unitypoint-iowa-methodist,J1885,HCPCS,KETOROLAC TROMETHAMINE 30 MG/ML IJ SOLN,outpatient,facility,cash,0.32,39.07,10,-2.5,49.825,39.86,0.18,23.65,False,False,False,False,False,True,U
IF_only,9,9684e3153df48428a52aa064b44829f8,sanford-usd,C1732,HCPCS,CATH ABL SMARTTOUCH SFF-J1-6-2,outpatient,facility,negotiated,1.0,943.8,8,-4.4,14235.0,11388.0,1.0,12811.5,False,False,False,False,False,True,E
IF_only,10,a83f162d024c3467f29222a9f6243a31,sanford-usd,C1776,HCPCS,HIP STEM INSIGNIA STD 30.5X96,outpatient,facility,negotiated,1.0,707.54,9,-4.1,9200.0,7360.0,1.0,8280.0,False,False,False,False,False,True,E
