hospital_slug,source_sha256,as_of,items,price_rows,completeness,validity,consistency,freshness,quality_score,m_has_gross,m_has_cash,m_has_min,m_has_max,m_has_negotiated,m_reject_rate,m_sentinel_rate,m_standard_code_share,m_neg_gt_gross_rate,m_neg_out_of_minmax_rate,m_cash_gt_gross_rate,m_min_gt_max_rate,m_days_since_update,m_template_current
cedars-sinai,8c188ab3b02967785256d5867cf760778581e5e849f0fd1141955c2a2dcd2dbf,2026-09-21,62582,1092092,0.7547,0.9414,0.7626,0.0904,63.7,0.5888,0.5888,0.8653,0.8653,0.8653,0.0,0.0,0.8242,0.8415,0.0001,0.108,0.0,299,0.0
ucsf,024837bb4fd4a3c8c7703fa1b94493deca4ee43ca0864d9548d61e1a02f6125d,2026-09-21,46456,255111,0.456,0.9107,0.9879,0.763,77.9,0.7199,0.7199,0.2801,0.2801,0.2801,0.0,4e-06,0.7321,0.0,0.0,0.0484,0.0,173,1.0
uchicago,a0f699c35bc550d83d9ff0a0a3b7d9e4184549209faacf6b71ad397cca2d6ac7,2026-09-21,38467,167504,0.4743,0.9344,0.9601,0.763,78.3,0.6284,0.6284,0.3716,0.3716,0.3716,0.0,0.0,0.8033,0.0,0.0003,0.1591,0.0,173,1.0
providence-alaska,6524d22e9fb2d4d9191c2ba381ceef52b54654cad0fa33a0d5d2c1ce912085d4,2026-09-21,353188,808404,0.4104,0.9725,0.9991,0.763,78.6,0.9478,0.9478,0.0522,0.0522,0.0522,0.0,0.0,0.9176,0.0,0.0,0.0037,0.0,173,1.0
stanford,d21ae2b92615b8496cc7124d3456b9761dbf439d0f231919e4195a86bac68259,2026-09-21,76025,345706,0.4522,0.9926,0.9662,0.763,79.4,0.8318,0.831,0.1994,0.1994,0.1994,0.0,0.0,0.9779,0.0015,0.1282,0.0053,0.0003,173,1.0
nyu-tisch,70e33a92ff56992b9c2899870c43f2e64ffe8f6a7f5047440baf7b4d1c9481c5,2026-09-21,12364,3725155,0.8097,0.9902,0.9588,0.6397,85.0,0.5666,0.5658,0.972,0.972,0.9719,1e-06,0.000199,0.9709,0.1625,0.0001,0.0021,0.0,263,1.0
unitypoint-finley,f797764ac3dbb482dfb284916b42700cce56747ed37e9f21fb2f35cc6a896460,2026-09-21,48740,722774,0.7736,0.9865,0.9819,0.6767,85.5,0.434,0.434,1.0,1.0,1.0,0.0,1.8e-05,0.9595,0.0329,0.0276,0.012,0.0,236,1.0
unitypoint-iowa-methodist,484af861bb5d384ea28582536b92381be44961821095e054698e08cde8d9477a,2026-09-21,46531,683565,0.814,0.9838,0.9644,0.6767,86.0,0.5404,0.5404,0.9965,0.9965,0.9965,0.0,1.3e-05,0.9514,0.026,0.0601,0.0562,0.0,236,1.0
unitypoint-allen,90be7e1a1a7d32016735befa9c867265e2cd0905987995ccc2de47447d223a18,2026-09-21,44620,613797,0.8096,0.9838,0.9755,0.6767,86.1,0.5295,0.5295,0.9963,0.9963,0.9963,0.0,1.5e-05,0.9515,0.0299,0.0391,0.0289,0.0,236,1.0
uihc,7124f50a62cd7c4fa8a3c30440b9dbf75f0b1f5a3bed1f9c2d9b2a0012590aeb,2026-09-21,234258,8400287,0.9916,0.7309,0.9922,0.7342,86.2,0.979,0.979,1.0,1.0,1.0,1.2e-05,2e-06,0.1928,0.0269,0.0021,0.0024,0.0,194,1.0
atrium-cmc,9d77955855b521c9e591d95093de161236d87c93e58ac984d0114677f1ffd658,2026-09-21,160496,6626358,0.9523,0.9306,0.9653,0.6014,86.2,0.8807,0.8807,1.0,1.0,1.0,0.0,1.4e-05,0.7919,0.0353,0.0727,0.0307,0.0,291,1.0
msk,ac6e99d5ac88636633c5544d79f4bdf34551f0564b1ca100e71a4e04d376069e,2026-09-21,22200,597678,0.9817,0.961,0.9798,0.5973,88.0,0.9552,0.9534,1.0,1.0,1.0,0.0,0.0,0.8829,0.0577,0.02,0.0032,0.0,294,1.0
gundersen-lutheran,5881923814ccfa5a91b97c9a632feedcd7316966f4d803e7ee95f25f076cdf4f,2026-09-21,42523,709072,0.7082,0.9999,0.9584,0.8822,88.7,0.2704,0.2704,1.0,1.0,1.0,0.0,0.000199,0.9998,0.0358,0.124,0.0056,0.001,86,1.0
sanford-usd,2c94d6436b2e60819b7de8f46553b4a9cb9cfdc3f5f6e92c4b80ff54b340aedb,2026-09-21,135547,2360294,0.9422,0.9074,0.9962,0.7247,89.3,0.8554,0.8554,1.0,1.0,1.0,0.0,0.043552,0.7659,0.0089,0.0031,0.003,0.0,201,1.0
banner-umc-phoenix,b7ef30e47f7e967776662e84d0b735af6b6c4d1331f216df834a445624cb1c13,2026-09-21,19697,567546,0.9328,0.9573,0.9803,0.7219,89.8,0.8129,0.8509,1.0,1.0,1.0,9.2e-05,0.0,0.8719,0.0757,0.0006,0.0026,0.0,203,1.0
ohsu,7c1720fc0fa6b25d6bafe43e483487fe735e14acc310bb85fdc2a25c2dcc8900,2026-09-21,15203,963033,0.9202,0.9603,0.9775,0.7507,90.2,0.8669,0.8669,1.0,1.0,0.8669,0.0,7e-05,0.8809,0.0299,0.025,0.0353,0.0,182,1.0
md-anderson,56b4a1f1995a6581d16f2cfb0f773d513058f19c0a84be4e4c8e5a09d8215ac1,2026-09-21,26357,2122978,0.7969,0.9829,0.982,0.8877,91.2,0.9844,0.0,1.0,1.0,1.0,9e-06,0.0,0.9489,0.0302,0.0416,0.0,0.0,82,1.0
mercyone-des-moines,146c314068b2cf8d87d16cf52ff4c122c4448b0b9523861ef37d549efdd9d4cb,2026-09-21,47148,5107810,0.9859,0.956,0.9979,0.7616,92.5,0.9377,0.9917,1.0,1.0,1.0,0.0,0.0,0.8681,0.004,0.0016,0.0026,0.0,174,1.0
mercyone-cedar-falls,fa030229b7cb72ee2506d3edccebcf3b529dc0c95035f971084435b9fd54824d,2026-09-21,39568,1766529,0.9978,0.9469,0.9953,0.7616,92.5,0.9892,0.9997,1.0,1.0,1.0,0.0,2e-06,0.8407,0.0047,0.0123,0.0018,0.0,174,1.0
mercyone-north-iowa,e5da6b64dac9e791fcce28e88d5c79b4675297a82139ffcf31988d0efe50a650,2026-09-21,44423,3266997,0.9909,0.9539,0.997,0.7616,92.6,0.958,0.9964,1.0,1.0,1.0,0.0,1e-06,0.8618,0.0057,0.0046,0.0019,0.0,174,1.0
rush,794f6ca1250ae0e58eb870f4dc378ce4a961b819ccaef1ac27f866c04f457afb,2026-09-21,5318,231979,1.0,0.9505,0.9523,0.9164,95.5,1.0,1.0,1.0,1.0,1.0,0.0,9e-06,0.8514,0.0836,0.05,0.057,0.0,61,1.0
