code,code_type,price_type,hospitals,prices,min,median,max
11043,CPT,cash,14,78,0.7000,1446.2450,13364.9500
11043,CPT,negotiated,15,10317,0.2500,81.3600,40293.0800
11043,HCPCS,cash,7,15,376.4000,2019.2000,6515.0000
11043,HCPCS,negotiated,7,212,168.6300,839.2500,22145.0000
14301,CPT,cash,13,49,0.7000,2848.0000,56473.8100
14301,CPT,negotiated,15,13670,0.2500,361.5100,28144.0000
14301,HCPCS,cash,6,13,2399.2000,3596.0000,12220.0000
14301,HCPCS,negotiated,7,180,834.0800,3890.1050,39140.0000
20605,CDM,cash,1,2,129.3000,145.2000,161.1000
20605,CPT,cash,15,131,79.0000,365.2400,68753.6600
20605,CPT,negotiated,16,10677,9.1200,73.5800,25798.0000
20605,HCPCS,cash,7,21,206.0000,686.7000,2773.0000
20605,HCPCS,negotiated,7,276,106.7300,550.0450,14407.0000
20610,CDM,cash,1,2,88.2000,138.1500,188.1000
20610,CPT,cash,15,157,15.6800,426.7200,17610.2000
20610,CPT,negotiated,16,17696,2.0300,38.2700,25798.0000
20610,HCPCS,cash,7,22,208.8000,765.0000,3341.0000
20610,HCPCS,negotiated,7,308,106.7300,645.6000,16461.0000
20680,CPT,cash,15,58,0.7000,1713.7500,54276.3300
20680,CPT,negotiated,16,13875,0.2500,149.2800,25798.0000
20680,HCPCS,cash,4,11,1792.0000,5347.0000,15325.7200
20680,HCPCS,negotiated,6,148,1030.2300,3552.7100,39140.0000
23071,CPT,cash,10,49,0.7000,3597.7500,7458.1000
23071,CPT,negotiated,15,10608,0.2500,178.4700,42813.0000
23071,HCPCS,cash,5,11,964.2000,2706.8000,11165.0000
23071,HCPCS,negotiated,6,148,680.0500,2491.5000,33682.0000
32551,CDM,cash,1,1,573.3000,573.3000,573.3000
32551,CPT,cash,13,71,0.7000,1218.7500,6899.6800
32551,CPT,negotiated,15,10447,0.2500,102.5800,25798.0000
32551,HCPCS,cash,6,26,643.5000,3186.0000,6838.0000
32551,HCPCS,negotiated,7,210,434.8600,1754.3700,18025.0000
36556,CDM,cash,1,1,904.5000,904.5000,904.5000
36556,CPT,cash,15,82,0.7000,1500.7000,46553.7800
36556,CPT,negotiated,16,10536,0.2500,114.1300,25798.0000
36556,HCPCS,cash,6,27,2454.3000,3156.0000,8935.6800
36556,HCPCS,negotiated,7,273,506.8900,3122.5600,18025.0000
44970,CPT,cash,11,45,0.7000,1432.5000,51418.6600
44970,CPT,negotiated,15,10294,0.2500,251.8600,48347.7400
44970,HCPCS,negotiated,5,51,1743.8500,8843.5900,53560.0000
49591,CPT,cash,11,45,0.7000,856.0000,40317.9300
49591,CPT,negotiated,15,15287,0.2500,136.9700,25798.0000
49591,HCPCS,negotiated,5,50,1606.2700,3793.5900,34690.0000
64450,CDM,cash,1,2,145.5000,183.3000,221.1000
